NFT ID,Rarity Score,Rank
124,228.82,5936
125,326.65,2609
126,428.97,1305
127,455.09,1100
128,395.73,1639
129,947.46,413
130,340.15,2361
131,630.62,582
132,327.49,2590
133,249.27,5061
134,311.29,2916
135,282.43,3713
136,301.06,3151
137,2289.03,56
138,1535.75,173
139,1945.08,84
140,342.52,2317
141,409.97,1479
142,252.09,4945
143,288.82,3515
144,254.95,4828
145,533.14,750
146,426.46,1324
147,271.17,4125
148,289.24,3501
149,293.11,3380
150,598.4,647
151,215.11,6401
152,312.96,2886
153,395.01,1645
154,1372.09,227
155,234.94,5681
156,261.13,4550
157,326.83,2600
158,208.26,6548
159,1107.8,341
160,234.9,5685
161,325.56,2633
162,425.51,1330
163,393.13,1671
164,363.23,2032
165,265.96,4347
166,321.18,2719
167,286.84,3576
168,277.41,3906
169,4300.75,23
170,1715.26,117
171,263.82,4436
172,371.86,1928
173,250.22,5020
174,320.02,2738
175,297.73,3237
176,319.87,2742
177,226.34,6019
178,228.85,5935
179,389.32,1722
180,801.52,467
181,200.22,6667
182,242.02,5377
183,265.14,4373
184,1266.43,266
185,300.11,3180
186,243.37,5308
187,187.75,6799
188,233.86,5731
189,281.2,3760
190,277.66,3893
191,406.21,1514
192,267.85,4265
193,292.96,3390
194,392.87,1677
195,382.61,1802
196,206.97,6570
197,284.48,3655
198,312.85,2887
199,412.51,1448
200,164.49,6907
201,321.88,2703
202,251.07,4992
203,293.65,3366
204,472.29,986
205,232.27,5800
206,248.53,5096
207,616.64,612
208,247.32,5143
209,329.29,2553
210,246.45,5190
211,259.76,4615
212,234.32,5708
213,600.41,639
214,261.84,4521
215,1299.19,254
216,310.62,2930
217,220.1,6246
218,1707.79,120
219,389.01,1725
220,1086.05,350
221,282.03,3732
222,387.39,1739
223,231.74,5814
224,292.55,3404
225,251.53,4967
226,229.45,5910
227,225.33,6054
228,411.55,1457
229,250.52,5010
230,257.23,4737
231,240.13,5471
232,214.31,6428
233,227.58,5974
234,169.87,6891
235,219.68,6271
