nft_id,rank,rarity_score
210,8899,827.83
211,6342,1005.06
212,5857,1035.53
213,3437,1228.01
214,5797,1040.11
215,6622,987.81
216,2554,1329.77
217,9700,692.57
218,7070,959.8
219,362,2331.03
220,3841,1183.13
221,6889,971.18
222,6153,1017.51
224,5464,1061.36
225,2147,1395.65
226,7934,899.91
227,6279,1008.72
228,5069,1088.59
229,5678,1047.5
230,5534,1057
231,2196,1388.83
232,3806,1186.59
233,1745,1478.11
234,9598,726.32
235,4111,1160.16
236,4234,1148.82
237,9129,805.21
238,1253,1612.87
239,4312,1142.37
240,7050,961.23
241,1413,1557.64
242,5485,1059.99
243,2357,1360.95
244,8208,881.21
245,5065,1088.69
246,1611,1509.67
247,9551,739.27
248,4393,1135.99
249,6473,997.23
250,2149,1395.49
251,7392,936.34
252,4952,1096.36
253,9807,612.89
254,3020,1271.95
255,5435,1062.82
256,9588,729
257,8737,841.07
258,1269,1607.67
259,6631,987.42
260,4610,1119.9
261,6375,1002.52
262,704,1882.55
263,6127,1019.18
264,8260,876.97
265,4689,1114.64
266,9566,735.01
267,1581,1515.98
268,2712,1309.56
269,3373,1233.94
270,174,2767.99
271,7313,941.51
272,1424,1554.55
273,9550,739.53
274,5836,1037.19
275,9626,715.48
276,5185,1080.92
277,827,1799.48
278,7181,952.13
279,6163,1016.63
280,5375,1067.25
281,110,3019.08
282,12,4314.82
283,6855,972.95
284,6803,976.53
285,8195,881.85
286,3864,1180.47
287,9032,815.01
288,1262,1609.42
289,292,2470.07
290,5853,1035.98
291,6559,991
292,7564,925.16
293,7847,906.31
294,9648,710.89
295,1199,1634.01
296,3116,1263.15
297,1113,1666.93
298,3423,1229.45
299,6466,997.67
300,7297,942.79
301,250,2582.66
302,4625,1118.62
303,4619,1119
304,1539,1526.03
305,7604,922.52
306,599,1995.37
307,4246,1147.96
308,7545,926.81
309,1470,1544.23
310,2415,1351.59
311,7703,916.8
312,5466,1061.34
313,2428,1349.45
314,4157,1156.87
315,4756,1109.46
316,7737,914.35
318,1912,1441.39
319,2653,1317.98
320,7610,922.17
321,638,1947.81
322,3471,1224.87
323,4741,1110.82
324,9592,728.45
325,4817,1104.74
326,7293,943.13
327,1758,1474.91
328,4266,1145.82
329,3144,1258.57
330,6628,987.51
331,4960,1095.3
332,4367,1137.65
333,7359,938.53
334,473,2166.81
335,1322,1585.84
336,9200,796.15
337,6254,1010.16
338,1392,1563.21
339,5680,1047.26
340,8057,891.45
341,6877,972
342,2909,1285.84
343,90,3116.87
344,1751,1476.2
345,6581,990.06
346,4297,1143.28
347,3705,1197.48
348,79,3173.64
349,1210,1627.81
350,1111,1668.84
351,3823,1184.52
352,3709,1197.24
353,8872,829.53
354,6816,975.84
355,4835,1103.26
356,7397,935.97
357,5327,1070.06
358,3520,1220.45
359,690,1893.54
360,6272,1009.13
362,1903,1443.66
363,707,1880.58
364,4574,1123.17
365,3926,1175.23
366,3729,1194.68
367,7924,900.44
368,3935,1174.33
369,9113,807.07
370,9109,807.44
371,3382,1232.77
372,5687,1047.1
373,3459,1225.82
374,9514,746.93
375,5306,1071.51
376,4806,1105.44
377,6129,1019.02
378,67,3311.43
379,3763,1191.49
380,5816,1038.73
381,1883,1449.01
382,7125,956.42
383,2103,1402.48
384,3606,1208.39
385,5118,1085.3
386,3086,1265.61
387,3058,1268.04
388,8949,823.44
389,3247,1246.96
390,4004,1169.35
391,4140,1158.08
392,6603,988.78
393,1059,1691.7
394,7606,922.43
395,636,1949.79
396,5265,1075.65
398,451,2192.02
399,7557,925.8
400,7904,902.21
401,376,2305.31
402,5680,1047.26
403,9631,714.33
404,8840,832.7
405,5436,1062.8
406,6052,1023.71
407,3263,1244.54
408,7319,941.13
409,4908,1098.72
410,9533,743.85
411,3642,1205.04
412,9253,788.96
413,7960,897.57
414,5448,1062.06
415,3652,1203.66
416,3524,1219.79
417,8952,823.37
418,7151,954.34
419,8077,890.2
420,4791,1106.42
422,6070,1022.75
423,8365,868.23
424,5208,1078.97
425,9010,817.45
426,6176,1015.87
427,9652,709.46
428,8894,827.9
429,8332,871.73
430,2623,1321.78
431,1481,1541.88
432,4355,1138.34
433,229,2630.8
434,8270,876.27
435,9216,793.4
436,1901,1443.83
437,1104,1671.76
